 ,"ABEJO, VANGIE (IND)","AFUANG, ABNER (WPP)","AGUILAR, FREDDIE (IND)","ALBANI, SHARIFF (WPP)","ALEJANO, GARY (LP)","ALFAJORA, RICHARD (IND)","ALUNAN, RAFFY (BGMBYN)","ANGARA, EDGARDO SONNY (LDP)","AQUINO, BENIGNO BAM  (LP)","ARCEGA, GERALD (WPP)","ARELLANO, ERNESTO (IND)","ARIAS, MARCELINO (WPP)","AUSTRIA, BERNARD (PDSP)","BALDEVARONA, BALDE (FFP)","BINAY, NANCY (UNA)","BONG REVILLA, RAMON JR (LAKAS)","CACERES, JESUS (IND)","CASI�O, TOTI (KDP)","CAYETANO, PIA (NP)","CHAVEZ, MELCHOR (WPP)","CHONG, GLENN (KDP)","COLMENARES, NERI (MKBYN)","DE GUZMAN, KA LEODY (PLM)","DELA ROSA, BATO (PDPLBN)","DIOKNO, CHEL (LP)","EJERCITO, ESTRADA JV (NPC)","ENRILE, JUAN PONCE (PMP)","ESCUDERO, AGNES (IND)","ESTRADA, JINGGOY (PMP)","FRANCISCO, ELMER (PFP)","GADDI, CHARLIE (IND)","GADON, LARRY (KBL)","GENEROSO,GEN PEDERALISMO (IND)","GO, BONG GO (PDPLBN)","GUIGAYUMA, JUNBERT (WPP)","GUTOC, SAMIRA (LP)","HILBAY, PILO (AKSYON)","JANGAO, BFG ABRAHAM (IND)","JAVELLANA, RJ (KDP)","LAPID, LITO (NPC)","MACALINTAL, MACAROMY (IND)","MALLILLIN, EMILY (IND)","MANGONDATO, FAISAL (IND)","MANGUDADATU, DONG (PDPLBN)","MANICAD, JIGGY (IND)","MARCOS, IMEE (NP)","MATULA, JOSE SONNY (WPP)","MENIANO, LUTHER (WPP)","MONTA�O, ALLAN (IND)","NALLIW, JOAN SHEELAH (IND)","ONG, DOC WILLIE (LAKAS)","OSME�A, SERGE (IND)","PADILLA, DADO (PFP)","PIMENTEL, KOKO (PDPLBN)","POE, GRACE (IND)","ROLEDA, DAN KAIBIGAN (UNA)","ROXAS, MAR (LP)","SAHIDULLA, LADY ANN (KDP)","TA�ADA,LORENZO ERIN TAPAT (LP)","TOLENTINO, FRANCIS (PDPLBN)","VALDES, BUTCH (KDP)","VILLAR, CYNTHIA (NP)",Total
BILIRAN,1066,744,3566,713,2828,580,2838,22355,12273,592,1085,608,502,489,27191,26591,508,818,20398,1007,53022,2791,746,25475,3717,16017,5060,1290,17794,583,516,3157,764,33565,313,2099,1594,649,402,19028,2200,391,3448,12063,6986,29820,435,227,1117,234,6760,8469,1944,18504,28885,797,9610,359,2057,19026,612,37184,506462
BATANGAS,11316,12596,49569,8288,144832,8184,40078,546913,495741,12017,24825,10491,9876,7515,491089,355940,6990,11542,584922,18576,57574,169919,28927,404337,313746,402292,171116,45496,283135,8619,6819,96936,10475,447110,4897,127795,90217,9468,4942,546155,189711,5921,31148,114069,173949,302338,9799,3401,22748,4143,274450,302662,23511,351950,753879,7918,335497,6997,132035,402742,7440,741969,10279552
CAVITE,15044,20163,69105,10469,150402,9450,80611,668774,494903,9179,26583,13891,12237,7733,495974,579423,9232,18294,739436,19625,100485,181333,36709,643585,249964,546091,159542,54975,400279,12875,8520,177767,13067,677959,6183,138439,98449,11975,6848,535446,168730,7473,47823,175424,391831,560758,13133,4041,29720,5899,449149,359776,25947,481824,815347,9550,278803,10018,136666,755596,10611,898346,13147484
LAGUNA,17792,29537,60682,10145,155931,10170,63658,587047,487032,11149,26513,11315,9230,9971,459381,373947,9924,19320,654897,20871,77639,199107,37464,529294,251878,533560,150576,54173,341903,9898,8054,141313,11612,519367,5429,144611,104114,12425,6146,519401,156684,7223,38969,143189,402270,454150,14038,4199,24699,5632,356449,339253,24708,428317,772321,8770,292649,9203,156509,448615,9583,802871,11586777
QUEZON,11881,12276,38113,8351,144259,7649,28081,380219,389337,7229,18517,8993,6268,5680,333487,332627,6424,10862,370580,14579,31297,109356,17099,242153,188878,326395,124071,39813,271840,6531,5248,48942,7832,307266,4528,118957,84427,10981,4602,447954,127866,4756,21306,55119,139579,207233,8465,3012,17862,3790,160941,197839,20244,223396,548734,7406,281258,5983,278679,227398,5788,531110,7611346
RIZAL,12631,17973,58960,9621,133849,8329,63599,508989,381103,7500,26445,12125,7827,6511,419814,347076,8922,16009,553695,18886,73245,170768,35379,478735,205468,424187,129553,49505,307086,9497,7482,131798,11504,514035,5320,119875,89056,10093,5806,444269,134771,6918,41799,143688,284902,432989,10910,3613,23304,5820,303362,290854,21386,383016,641141,9036,230355,8639,125580,413639,10579,672141,10040967
AKLAN,4494,3186,15924,2564,56845,3021,8603,108798,118575,2350,6336,3130,1966,1979,90455,111151,2010,3617,110262,4932,9734,27835,4098,80730,51478,83632,30326,8408,81744,3122,1592,16945,2681,116114,1881,32956,22534,2365,1487,107428,29237,1699,8222,24015,44938,65308,2333,1008,7158,1072,39572,54913,6481,82201,148333,2686,111308,1529,27628,73000,1637,171625,2253191
ANTIQUE,4578,3832,17753,2955,39159,2992,7215,95705,114760,2994,6882,2827,2236,2413,92732,107394,2139,3425,100865,5989,9074,25682,4124,73534,41255,80920,31533,9284,79791,3907,1922,12095,2455,71353,1614,27597,20281,2636,1979,109502,24834,1783,8535,19919,29173,62772,2280,1006,7133,1015,26172,57166,8047,67152,136746,2402,95731,1752,24384,56961,1934,141494,2007774
CAPIZ,5736,3845,15195,3927,57311,3907,8254,116691,141380,3849,7180,3706,2484,2626,106587,128661,2919,5024,122839,6053,8871,40683,5058,105278,59025,78650,34958,10308,84475,3443,1984,13762,3685,125679,1989,44133,20862,2970,2209,127772,32166,2130,12632,31527,25275,70646,3144,1168,7587,1498,31900,60612,7902,85317,156305,2872,190481,2203,36263,84032,2260,177568,2549456
ILOILO,14034,11292,45572,9830,224196,9576,37402,441964,580141,9263,30402,9169,6953,14786,300290,342038,8469,12993,454095,21288,29123,186147,17323,340832,220985,292437,153360,35064,239563,8793,5713,48429,9984,352023,5751,142677,98381,8272,10455,367384,109465,6017,32332,89774,92192,230597,12852,3187,32590,3892,109227,272600,21358,300463,605337,7864,558188,5917,123282,281337,6245,631163,8692328
